id,backend,frontEnd,cv,Entrevista
1.0,9.1,8.1,0.0,2.0
2.0,0.1,7.5,0.0,2.0
3.0,0.0,5.6,2.0,0.0
4.0,2.0,5.2,2.0,1.0
5.0,6.0,6.9,3.0,2.0
5.0,5.2,7.3,2.0,3.0
7.0,9.2,3.0,0.0,3.0
8.0,2.1,2.7,1.0,0.0
9.0,5.9,8.2,0.0,0.0
10.0,0.7,6.1,5.0,2.0
11.0,5.4,1.4,5.0,2.0
12.0,9.5,1.4,5.0,1.0
13.0,4.2,4.6,2.0,2.0
14.0,6.2,6.0,0.0,0.0
15.0,6.6,0.6,0.0,1.0
16.0,6.5,7.0,2.0,1.0
17.0,8.1,6.1,4.0,0.0
18.0,5.0,2.6,4.0,3.0
19.0,4.0,7.0,0.0,3.0
20.0,9.8,4.7,5.0,1.0
21.0,3.5,3.1,5.0,2.0
22.0,7.8,5.4,4.0,0.0
23.0,9.9,1.8,5.0,1.0
24.0,7.3,0.4,2.0,3.0
25.0,4.8,6.4,4.0,0.0
26.0,8.4,4.7,4.0,1.0
27.0,1.1,8.0,5.0,1.0
28.0,8.1,5.4,1.0,0.0
29.0,1.7,9.2,0.0,3.0
30.0,2.6,6.7,2.0,1.0
31.0,7.6,8.3,3.0,0.0
32.0,0.6,2.2,3.0,0.0
33.0,3.1,8.0,1.0,2.0
34.0,7.6,0.2,1.0,2.0
35.0,9.6,3.0,3.0,1.0
36.0,1.9,4.4,5.0,0.0
37.0,4.0,6.7,3.0,0.0
38.0,6.9,2.0,0.0,0.0
39.0,9.4,3.7,5.0,3.0
40.0,1.0,7.0,4.0,0.0
41.0,6.3,9.3,2.0,2.0
42.0,1.7,9.4,2.0,0.0
43.0,1.3,6.3,2.0,3.0
44.0,1.2,6.0,5.0,0.0
45.0,7.4,7.0,4.0,3.0
46.0,1.2,8.1,4.0,2.0
47.0,4.5,0.4,5.0,0.0
48.0,6.7,7.7,4.0,2.0
49.0,5.2,5.7,0.0,0.0
50.0,7.4,3.9,0.0,2.0
51.0,0.4,9.3,1.0,1.0
52.0,4.0,6.2,4.0,2.0
53.0,4.3,4.4,2.0,1.0
54.0,4.9,4.9,0.0,1.0
55.0,1.6,5.9,3.0,2.0
56.0,8.6,5.2,1.0,3.0
57.0,6.3,8.2,3.0,0.0
58.0,0.0,2.3,4.0,3.0
